Name,User_Score,Critic_Score,Normalized_User_Score,Normalized_Critic_Score
The Lord of the Rings: The Two Towers,8.2,82.0,0.8461538461538461,0.8117647058823529
Tomb Raider,8.6,91.0,0.8901098901098901,0.9176470588235294
Animal Crossing: City Folk,7.6,73.0,0.7802197802197802,0.7058823529411765
Uncharted: The Nathan Drake Collection,8.1,86.0,0.8351648351648352,0.8588235294117647
The Legend of Zelda: The Wind Waker,8.9,96.0,0.9230769230769231,0.9764705882352941
Guitar Hero III: Legends of Rock,8.4,86.0,0.8681318681318682,0.8588235294117647
Luigi's Mansion: Dark Moon,8.4,86.0,0.8681318681318682,0.8588235294117647
Forza Motorsport 4,8.2,91.0,0.8461538461538461,0.9176470588235294
Madden NFL 2005,7.9,91.0,0.8131868131868133,0.9176470588235294
Guitar Hero III: Legends of Rock,7.9,85.0,0.8131868131868133,0.8470588235294118
Madden NFL 07,8.2,84.0,0.8461538461538461,0.8352941176470589
Halo 5: Guardians,6.4,84.0,0.6483516483516484,0.8352941176470589
Spider-Man: The Movie,7.9,76.0,0.8131868131868133,0.7411764705882353
Call of Duty: Infinite Warfare,3.4,77.0,0.31868131868131866,0.7529411764705882
God of War,8.9,94.0,0.9230769230769231,0.9529411764705882
Splatoon,8.5,81.0,0.8791208791208791,0.8
Nintendo Land,7.9,77.0,0.8131868131868133,0.7529411764705882
Tony Hawk's Pro Skater 3,7.5,97.0,0.7692307692307693,0.9882352941176471
Winning Eleven: Pro Evolution Soccer 2007,8.9,86.0,0.9230769230769231,0.8588235294117647
The Elder Scrolls IV: Oblivion,8.7,94.0,0.901098901098901,0.9529411764705882
Need for Speed: Most Wanted,9.1,82.0,0.945054945054945,0.8117647058823529
Michael Jackson: The Experience,8.3,56.0,0.8571428571428572,0.5058823529411764
Resistance: Fall of Man,8.1,86.0,0.8351648351648352,0.8588235294117647
Kingdom Hearts II,9.0,87.0,0.9340659340659341,0.8705882352941177
Super Mario 3D World,9.0,93.0,0.9340659340659341,0.9411764705882353
Fable II,6.5,89.0,0.6593406593406593,0.8941176470588236
Namco Museum,7.3,79.0,0.7472527472527473,0.7764705882352941
Batman: Arkham Asylum,8.9,91.0,0.9230769230769231,0.9176470588235294
Metal Gear Solid 3: Snake Eater,9.3,91.0,0.9670329670329672,0.9176470588235294
Assassin's Creed: Revelations,7.5,80.0,0.7692307692307693,0.788235294117647
Fallout 4,6.2,88.0,0.6263736263736264,0.8823529411764706
FIFA 14,4.2,84.0,0.40659340659340665,0.8352941176470589
Daxter,8.7,85.0,0.901098901098901,0.8470588235294118
FIFA Soccer 06,7.8,80.0,0.8021978021978022,0.788235294117647
EyeToy Play,7.5,80.0,0.7692307692307693,0.788235294117647
Gran Turismo 5 Prologue,7.1,80.0,0.7252747252747253,0.788235294117647
Assassin's Creed: Revelations,7.2,80.0,0.7362637362637363,0.788235294117647
Street Fighter IV,7.3,94.0,0.7472527472527473,0.9529411764705882
Madden NFL 2003,7.7,95.0,0.7912087912087913,0.9647058823529412
Half-Life,9.1,96.0,0.945054945054945,0.9764705882352941
World of Warcraft: The Burning Crusade,7.9,91.0,0.8131868131868133,0.9176470588235294
Battlefield 1,8.4,88.0,0.8681318681318682,0.8823529411764706
God of War II,8.9,93.0,0.9230769230769231,0.9411764705882353
Fallout: New Vegas,8.1,84.0,0.8351648351648352,0.8352941176470589
Forza Motorsport 2,8.3,90.0,0.8571428571428572,0.9058823529411765
Carnival Games,6.0,56.0,0.6043956043956045,0.5058823529411764
Watch Dogs,6.3,80.0,0.6373626373626373,0.788235294117647
Tekken Tag Tournament,8.5,85.0,0.8791208791208791,0.8470588235294118
Far Cry 4,7.7,85.0,0.7912087912087913,0.8470588235294118
Left 4 Dead 2,8.6,89.0,0.8901098901098901,0.8941176470588236
The Witcher 3: Wild Hunt,9.2,92.0,0.956043956043956,0.9294117647058824
Assassin's Creed: Unity,4.9,70.0,0.4835164835164836,0.6705882352941176
Batman: Arkham Knight,7.6,87.0,0.7802197802197802,0.8705882352941177
The Legend of Zelda: Skyward Sword,8.0,93.0,0.8241758241758242,0.9411764705882353
Fallout 3,8.0,90.0,0.8241758241758242,0.9058823529411765
Professor Layton and the Diabolical Box,8.8,84.0,0.9120879120879122,0.8352941176470589
EA Sports Active,8.7,81.0,0.901098901098901,0.8
Tony Hawk's Underground,8.7,90.0,0.901098901098901,0.9058823529411765
Monster Hunter 4 Ultimate,8.7,86.0,0.901098901098901,0.8588235294117647
The Elder Scrolls V: Skyrim,8.1,94.0,0.8351648351648352,0.9529411764705882
NBA 2K16,6.7,87.0,0.6813186813186813,0.8705882352941177
Tekken 5,8.6,88.0,0.8901098901098901,0.8823529411764706
MotorStorm,7.4,84.0,0.7582417582417583,0.8352941176470589
World Soccer Winning Eleven 8 International,9.1,91.0,0.945054945054945,0.9176470588235294
Sports Champions,7.9,76.0,0.8131868131868133,0.7411764705882353
Call of Duty: Ghosts,3.7,78.0,0.3516483516483517,0.7647058823529411
Flash Focus: Vision Training in Minutes a Day,4.0,59.0,0.38461538461538464,0.5411764705882353
Tom Clancy's The Division,7.0,80.0,0.7142857142857143,0.788235294117647
Big Brain Academy: Wii Degree,6.9,68.0,0.7032967032967034,0.6470588235294118
LEGO Indiana Jones: The Original Adventures,7.5,77.0,0.7692307692307693,0.7529411764705882
The Sims: Unleashed,8.0,79.0,0.8241758241758242,0.7764705882352941
Harry Potter and the Sorcerer's Stone,7.5,64.0,0.7692307692307693,0.6
Super Paper Mario,7.9,85.0,0.8131868131868133,0.8470588235294118
Spyro: Year of the Dragon,8.8,91.0,0.9120879120879122,0.9176470588235294
Assassin's Creed IV: Black Flag,8.1,88.0,0.8351648351648352,0.8823529411764706
FIFA Soccer 2005,7.6,81.0,0.7802197802197802,0.8
Tony Hawk's Pro Skater 4,8.5,94.0,0.8791208791208791,0.9529411764705882
MySims,7.3,67.0,0.7472527472527473,0.6352941176470588
Midnight Club 3: DUB Edition,8.4,74.0,0.8681318681318682,0.7176470588235294
SOCOM: U.S. Navy SEALs,7.9,82.0,0.8131868131868133,0.8117647058823529
Jak and Daxter: The Precursor Legacy,8.7,90.0,0.901098901098901,0.9058823529411765
Pro Evolution Soccer 2008,7.9,82.0,0.8131868131868133,0.8117647058823529
Resident Evil 4,8.9,96.0,0.9230769230769231,0.9764705882352941
