,release_year,genre
297,2017,Action
298,2017,"Action,Indie"
299,2013,"Simulation,Strategy"
300,2018,RPG
301,2019,"Action,Early Access"
302,2019,"Action,Adventure,Indie"
303,2016,"Action,Adventure,Casual,Indie,RPG"
304,2018,"Simulation,Sports"
305,2019,"Action,Free to Play,Early Access"
306,2017,"Adventure,Indie"
307,2019,"Indie,Strategy"
308,2013,"Action,RPG"
309,2013,"Adventure,Indie"
310,2018,Action
311,2018,"Action,Indie,Early Access"
312,2016,"Action,Adventure"
313,2019,"Simulation,Strategy"
314,2017,"Adventure,Simulation,Sports"
315,2017,"Action,Adventure"
316,2015,"Casual,Indie,RPG,Simulation,Strategy"
317,2019,RPG
318,2018,"Adventure,RPG"
319,nan,Indie
320,2018,"Action,Free to Play"
321,2019,"Action,Casual"
322,2014,"Action,Indie"
323,2019,"Action,Indie,Simulation,Strategy"
324,2019,"Indie,RPG"
325,2010,Strategy
326,2018,RPG
327,2013,Strategy
328,2018,"Action,Adventure,Indie,RPG,Simulation,Early Access"
329,nan,"Action,RPG"
330,2019,"Action,Adventure"
331,2018,"Adventure,Indie,Simulation,Early Access"
332,2016,"Casual,Indie,Simulation,Strategy,Early Access"
333,2016,"Action,Strategy"
334,2015,"Action,Indie,RPG"
335,2006,"Indie,Simulation"
336,2017,"Action,Free to Play,Indie"
337,2018,RPG
338,2019,"Action,Strategy"
339,2017,"Action,Free to Play,Massively Multiplayer,Simulation"
340,2014,"Casual,Indie,Simulation"
341,2017,"Action,Adventure"
342,2018,Simulation
343,2016,"Adventure,Indie,Simulation"
344,2012,"RPG,Simulation,Strategy"
345,2018,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy"
346,2019,"Action,Indie,Simulation,Strategy,Early Access"
347,2019,"Indie,Simulation,Strategy,Early Access"
348,nan,"Action,RPG"
349,2015,"Action,Adventure"
350,2019,"Simulation,Strategy"
351,2017,Action
352,2018,"Action,Adventure,RPG"
353,2010,"Free to Play,Massively Multiplayer,RPG"
354,2019,"Action,Adventure,RPG"
